customer_message,spotify_reply,clean_customer_message,intent,auto_or_escalate
@SpotifyCares @116130 my account has been hacked and email changed. Please contact to sort asap,"@385697 Hey! In this case, we suggest you follow the steps at https://t.co/QHn3ok8y2n. We hope that helps /CB",my account has been hacked and email changed please contact to sort asap,Account Access,Escalate
"@SpotifyCares Just signed up for premium during the 99 cent/three month trial. However my username is not right. I know I need to close the account and basically start over, but can I do this while keeping the trial going? Thanks!",@138952 Hi Paul! Could you DM us your account's email address so we can check backstage? /FJ https://t.co/ldFdZRiNAt,just signed up for premium during the cent three month trial however my username is not right i know i need to close the account and basically start over but can i do this while keeping the trial going thanks,Premium Billing,Escalate
"@115888 my account randomly changed to ""9.99 spotify for family"" in the middle of the night, and now says it'll expire this month, wth?",@318003 Hey there! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt,my account randomly changed to spotify for family in the middle of the night and now says it ll expire this month wth,General Support,Auto
So annoyed at @SpotifyCares. I pay for Spotify premium but it says it's 'unable' to log me in with an email and password I know is correct 😡,@201245 Hey Charlie! Can you DM us your account's email address and username? We'll take a look backstage /SU https://t.co/ldFdZRiNAt,so annoyed at i pay for spotify premium but it says it s unable to log me in with an email and password i know is correct,Login Issue,Auto
"@Spotifycares Hi! I disabled FB integration on my Spotify account, but there are again my personnal photo and real first/last names. Why?","@275690 Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",hi i disabled fb integration on my spotify account but there are again my personnal photo and real first last names why,General Support,Auto
@115888 please help me with my login.,@133057 Hey there! Can you DM us your account's username or email address? We'll take a look backstage /MS https://t.co/ldFdZRiNAt,please help me with my login,Login Issue,Auto
@117153 Besides of solving payment issues you could take a look on your SignUp. Infinite loading spinner when all data is written - and nothing!,@187455 Hey Alexander! Can you let us know your device and operating system? Is this happening on your browser or the app? /JP,besides of solving payment issues you could take a look on your signup infinite loading spinner when all data is written and nothing,Premium Billing,Escalate
@SpotifyCares not signing up. Verification expires,"@257506 Hi there! We're afraid Spotify isn't available in Nigeria just yet. Don't worry, we're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM /DR",not signing up verification expires,General Support,Auto
@SpotifyCares I just got an email saying to confirm my account. I don’t have an account so someone is using my email address,@189465 Hey there! Can you DM us your email address and a screenshot of the notice you received? /RB https://t.co/ldFdZRiNAt,i just got an email saying to confirm my account i don t have an account so someone is using my email address,Account Access,Escalate
"@117153 Hi, i paid and it was already charged to my card, but my account is not premium",@155117 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /JQ,hi i paid and it was already charged to my card but my account is not premium,Premium Billing,Escalate
@115888 It won't let avail the promo using mobile payment 😐,@136369 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,it won t let avail the promo using mobile payment,Premium Billing,Escalate
@115888 Hi. I can't log on to my premium account. Are there any problems at your end?,@117979 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,hi i can t log on to my premium account are there any problems at your end,Premium Billing,Escalate
@SpotifyCares Having trouble logging in. I have my email but I'm not sure why it's not working. I have the receipt from my premium sub on my email,@292954 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt,having trouble logging in i have my email but i m not sure why it s not working i have the receipt from my premium sub on my email,Premium Billing,Escalate
Dear @118266 Kindly check my account since i cant log in since the first time using my registered emailed and now my card is being charged...the email addres is __email__,"@280369 Hi! We've just sent a DM your way. Let's carry on chatting there. Also, we'd recommend deleting your tweet as it contains your private info /PL",dear kindly check my account since i cant log in since the first time using my registered emailed and now my card is being charged the email addres is email,Login Issue,Auto
"@SpotifyCares - Hey Spotify folks, when i try to redeem the 30 day free premium on my newly created account, i get an ""we're all mixed up"".",@321333 Hi Kasper! Can you send us a DM with your account's email address? We'll see what we can suggest /NJ https://t.co/ldFdZRiNAt,hey spotify folks when i try to redeem the day free premium on my newly created account i get an we re all mixed up,Premium Billing,Escalate
"I've canceled my premium Spotify and used Tidal HiFi/Masters for a few months. The sound quality is superb, especially with a DAC/AMP and premium 🎧. Yet, I find Spotify for ""daily listening"" better because of the UX and playlists. Why there is no Spotify HiFi? :( @SpotifyCares","@286878 Hey there! Thanks for your feedback. HiFi streaming isn't available right now, but you can stream in HD if you have Premium. Check out our support site for more info here: https://t.co/VgOMG9xsiH. Give us a shout if you need help with anything else 🙂 /MY",i ve canceled my premium spotify and used tidal hifi masters for a few months the sound quality is superb especially with a dac amp and premium yet i find spotify for daily listening better because of the ux and playlists why there is no spotify hifi,Premium Billing,Escalate
@SpotifyCares ...but it still comes back. Premium acc is worthless if you are so strict on this. Anything u can do? Otherwise I will cancel.,"@310368 Hey Patrick! Could you try logging in to your account page here: https://t.co/cnaaFIwigZ. Then selecting ""Sign Out Everywhere"" /TY",but it still comes back premium acc is worthless if you are so strict on this anything u can do otherwise i will cancel,Premium Billing,Escalate
@SpotifyCares Where can I see my family's profiles and playlists? Should be easy but doesn't seem to be. (We have family premium a/c),@250527 Hi James! Could you send us a DM with your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,where can i see my family s profiles and playlists should be easy but doesn t seem to be we have family premium a c,Premium Billing,Escalate
Getting premium for family but one of us just paid the normal monthly subscription. What happens when he joins us? @SpotifyCares,@289457 2: info here: https://t.co/KJ8ayuKPFM. Give us a shout if you have other questions /MT,getting premium for family but one of us just paid the normal monthly subscription what happens when he joins us,Premium Billing,Escalate
@SpotifyCares why was I charged 129 pesos in my prepaid mobile account instead of just 9pesos for 3months Premium Trial?,@142357 Hey Eran! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,why was i charged pesos in my prepaid mobile account instead of just pesos for months premium trial,Premium Billing,Escalate
"@SpotifyCares 3rd time in less than a month. This time it wasn't just the albums that were deleted, but also the multiple playlists I had. No update, no offline mode. Why am I even paying for ""premium"" if the service is anything but that?","@147346 Hey Fernando! Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. Let us know how it goes. In the meantime, the tech team are still taking a closer look at this for you /K",rd time in less than a month this time it wasn t just the albums that were deleted but also the multiple playlists i had no update no offline mode why am i even paying for premium if the service is anything but that,Premium Billing,Escalate
@SpotifyCares My husband pays a monthly fee but when we log in his Facebook shows not premium Mine says not premium we have premium service. https://t.co/2J3BoRkaEr,"@275050 Hi, we've come to the rescue! We've just replied to your DM. Check it out. We'll continue helping there /RE",my husband pays a monthly fee but when we log in his facebook shows not premium mine says not premium we have premium service,Login Issue,Auto
"@SpotifyCares Figured it out! If you sign in with your email as the username it opens your account but not premium, only a free account. Is this a Glitch?",@255584 Hmm. It's possible that you have another account which is on Free. Can you DM us the email address you used to log in? We'll check under the hood /KM https://t.co/ldFdZRiNAt,figured it out if you sign in with your email as the username it opens your account but not premium only a free account is this a glitch,Login Issue,Auto
Bullshit like this is enough to get me to cancel my Spotify subscription. This is ridiculous.,"@318536 Hi there, help's here! Could you let us know the devices you're using to sync your local files? We'll see what we can suggest /JO",bullshit like this is enough to get me to cancel my spotify subscription this is ridiculous,Premium Billing,Escalate
"@SpotifyCares why have you charged me £9.99 for the last two months when I'm on a student plan and was paying £4.99 previously, I want a refund asap","@379973 Hi there, the cavalry's here! Could you send us a DM with your account's email address? We'll check behind the scenes /NJ https://t.co/ldFdZRiNAt",why have you charged me for the last two months when i m on a student plan and was paying previously i want a refund asap,Premium Billing,Escalate
@115888 how do I redeem the $99/1yr deal? I have premium and my account says next payment is the normal monthly fee. How do I opt in?,@245687 Hey Fiona! Can you DM us your account's email address or username? We'll see what we can suggest /KM https://t.co/ldFdZRiNAt,how do i redeem the yr deal i have premium and my account says next payment is the normal monthly fee how do i opt in,Premium Billing,Escalate
"@SpotifyCares Hi, my premium account has been stolen by a man in Russia, how do I resolve this, I don't want my eurodance playlist destroyed",@349608 Hey! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /NQ,hi my premium account has been stolen by a man in russia how do i resolve this i don t want my eurodance playlist destroyed,Premium Billing,Escalate
@SpotifyCares my premium family account paused and when I started it back the family members are all gone and I cant re-invite? #2angrykids #help,"@271797 Hey Tiffany! Do you get an error message when trying to send an invite? Also, can you DM us your account's email address? We'll take a look backstage /SJ https://t.co/ldFdZRiNAt",my premium family account paused and when i started it back the family members are all gone and i cant re invite angrykids help,Premium Billing,Escalate
@115888 Is there a payment issue going on? No accounts will renew my premium,@330169 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,is there a payment issue going on no accounts will renew my premium,Premium Billing,Escalate
I'm one more time that all my downloaded music is deleted again away from switching to Google Music. @SpotifyCares,"@373487 Hi, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /GT",i m one more time that all my downloaded music is deleted again away from switching to google music,Playback Problem,Auto
"@SpotifyCares Hi, I logged out of my Spotify last week. I logged back in the next day and my playlists have gone. Can you help? Thanks!",@124505 Hey Jenny! Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt,hi i logged out of my spotify last week i logged back in the next day and my playlists have gone can you help thanks,Playlist Issue,Auto
@115888 alright lads. Love the app but can you sort the bluetooth issue out? I would like my headphone sto be able to pause and play pls.,"@121676 Hi, help's arrived! Can you let us know what's happening exactly? Also, what're your device's OS and Spotify versions? /DV",alright lads love the app but can you sort the bluetooth issue out i would like my headphone sto be able to pause and play pls,Playback Problem,Auto
"@115888 Arghhh I’m having password problems... again! Tried the reset, no joy! Help; I need music!",@349614 Hey Hollie! Help's here. Can you DM us a screenshot of the exact error message you're getting? We'll see what we can suggest /RA,arghhh i m having password problems again tried the reset no joy help i need music,Login Issue,Auto
"Spotify really needs to take a look at artist pages on their mobile app... I can never find their EPs and Singles, only albums and popular songs (&amp; playlists) @115888",@159388 Hi there. We're sorry you feel that way. Can you DM us your account's email address? We'll take a look backstage /LM https://t.co/ldFdZRiNAt,spotify really needs to take a look at artist pages on their mobile app i can never find their eps and singles only albums and popular songs amp playlists,Playlist Issue,Auto
Spotify needs to update everything to look like this when you play a song ❤️ @115888 @SpotifyCares https://t.co/eKIEtGb2RW,"@387580 We hear you loud and clear, Josh! We can’t make any promises but we’ll pass your feedback onto the right folks /QI",spotify needs to update everything to look like this when you play a song,Playlist Issue,Auto
@115888 how do I block artist? Hate that u think that I like Gyllenetider to start playing after Burt Bacharach 😳,"@392371 Hi Marcus! This isn’t possible right now, but we have more info about this on our Community. Check it out: https://t.co/oGDLtirXki. On another note, did you hear this recommendation on Spotify Radio? /LP",how do i block artist hate that u think that i like gyllenetider to start playing after burt bacharach,Playback Problem,Auto
"@115888 hey spotify always the same , i listen the same music every day , and the ""daily discover"" is just music i don't like ....just sad men ....every day i put my headphones and i want a new discovery but always end in my own playlists..😑","@134383 Hey Martin! Just to clarify, what playlists are you referring to? A screenshot would be helpful /RS",hey spotify always the same i listen the same music every day and the daily discover is just music i don t like just sad men every day i put my headphones and i want a new discovery but always end in my own playlists,Playlist Issue,Auto
@SpotifyCares Someone keeps linking to my account and adding to my playlist 😭.,@373802 Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF https://t.co/ldFdZRiNAt,someone keeps linking to my account and adding to my playlist,Playlist Issue,Auto
@SpotifyCares my account was hacked and the new user changed the email address and I can't live without music please help,"@317117 Hey Kareem, we're sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next /MG",my account was hacked and the new user changed the email address and i can t live without music please help,Playback Problem,Auto
"@SpotifyCares Autoplay is not available on OSX, correct?",@344834 Hey Christophe! What OS X and Spotify versions are you using? We'll check things out /AY,autoplay is not available on osx correct,Playback Problem,Auto
"@SpotifyCares It has been suggested many times in the past few years. At the moment, listening to Spotify though devices like Fire TV is an annoyance",@366107 We understand. We'll be sure to pass on your comments to the relevant team. Let us know if you have any other questions /CE,it has been suggested many times in the past few years at the moment listening to spotify though devices like fire tv is an annoyance,Device Sync,Auto
"Dear @115888, What am I doing wrong that this happens to me even though I listen to 🎶 on Spotify for hours every day? 😥#SpotifyTimeCapsule https://t.co/7xaqLwByUj",@186020 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,dear what am i doing wrong that this happens to me even though i listen to on spotify for hours every day spotifytimecapsule,General Support,Auto
@SpotifyCares hey my accounts been hacked by some dude name Joan and he's freeloading off my paid account and ruining my playlists,@366080 Hi there! Can you DM us your account's email address or username? We'll see what we can suggest /ME https://t.co/ldFdZRiNAt,hey my accounts been hacked by some dude name joan and he s freeloading off my paid account and ruining my playlists,Playlist Issue,Auto
"@SpotifyCares It doesn’t no, I don’t think it’s an issue with my computer. I’ve seen online that other people’s recently played doesn’t update as well.","@209815 That's odd. Just to be sure, are you usually on Private Session? If so, this might be the reason why it hasn't updated /KL",it doesn t no i don t think it s an issue with my computer i ve seen online that other people s recently played doesn t update as well,Playback Problem,Auto
hello @115888 can u make almost like a little timeline feature where ur friends can share music/albums,@208050 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them /TC,hello can u make almost like a little timeline feature where ur friends can share music albums,Playback Problem,Auto
"@SpotifyCares also, the ""Your Music"" section, why not let us sort the display order? Alpha up/dn, date added up/dn, Played last up/dn etc?",@332057 We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks. Keep rocking 🤘 /MQ,also the your music section why not let us sort the display order alpha up dn date added up dn played last up dn etc,Playback Problem,Auto
"@115888 please bring us a follower feed like @126654 has had for years 🙏🏿The trash music you guys recommend is not something I want to hear. I know what I want to hear, which is why I followed the artists.","@151637 Hey there, we can see how this would be handy! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users. If you ever need anything else, just shout and we'll come running 🏃 /JX",please bring us a follower feed like has had for years the trash music you guys recommend is not something i want to hear i know what i want to hear which is why i followed the artists,Playback Problem,Auto
@115888 just found amazon music plays simultaneously across all echos- but not with spotty- How come? I’m trying to stay loyal to Spotify!,@289786 Hey Andrew! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /TC,just found amazon music plays simultaneously across all echos but not with spotty how come i m trying to stay loyal to spotify,Playback Problem,Auto
"@SpotifyCares When are you going to have ""show already played tracks"" in Spotify? It is very hard to keep up with playlists!",@212273 Hey Julien! Help's arrived. Can you tell us what device and operating system you're using? We'll see what we can suggest /CH,when are you going to have show already played tracks in spotify it is very hard to keep up with playlists,Playlist Issue,Auto
"@125633 Hi, we have a verified spotify account but don't seem to be able to create a playlist as an artist, only via personal accounts (problem: not our band but private account is shown &amp; fans get redirected to the personal account which is bad for traffic). #help #dtv",@185397 Hey! We'd recommend filling out this contact form here https://t.co/p1wbtdELHu. The Artist support team should be able to help out /SP,hi we have a verified spotify account but don t seem to be able to create a playlist as an artist only via personal accounts problem not our band but private account is shown amp fans get redirected to the personal account which is bad for traffic help dtv,Playlist Issue,Auto
"@SpotifyCares Nope, just stops my song, connects to webplayer and plays some random stuff. Despacito was the latest one ahaha",@328296 Got it. Can you head to your desktop app's Settings &gt; Startup and Window Behaviour and check if it's ticked or unticked? /NG,nope just stops my song connects to webplayer and plays some random stuff despacito was the latest one ahaha,Playlist Issue,Auto
@SpotifyCares It doesn’t allow me to send the entire playlist. Just individual songs for some reason. Btw that’s not the only song that’s not safe for work.,@330161 1: Got it! A playlist's Radio station will automatically play music based on Related Artists and your listening habits.,it doesn t allow me to send the entire playlist just individual songs for some reason btw that s not the only song that s not safe for work,Playlist Issue,Auto
#newfeature add song to multiple playlists at one time please! @115888,@164937 Hey! We can see how that’d be useful. You can vote for the official idea here: https://t.co/cpJPrkS6Ex /RV,newfeature add song to multiple playlists at one time please,Playlist Issue,Auto
#feature request for @115888 As a user I want to see MY playlists that contain a song when I search for it in the search bar,@134394 Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them. Keep rocking /MX,feature request for as a user i want to see my playlists that contain a song when i search for it in the search bar,Playlist Issue,Auto
@SpotifyCares When I click a song nothing happens and the “shuffle” button shakes... I’ve recorded my screen to you... https://t.co/WWnqUChp5k,@218687 That's odd. Can you DM us your account's username and email address? We'll take a look backstage /KL https://t.co/ldFdZRiNAt,when i click a song nothing happens and the shuffle button shakes i ve recorded my screen to you,Playlist Issue,Auto
@SpotifyCares Yeah yeah yeah but what if I only use spotify on one device? If you have a million audiophiles with over 3333 songs on their devices shouldnt you cater to them instead of mucking around with justin bieber?,"@144986 We understand. Rest assured, your feedback will be passed on to the right folks. Don't worry, you can help make this happen by supporting the official idea in our Community at https://t.co/yx0z3sJgV7. Let us know if you need anything else /NS",yeah yeah yeah but what if i only use spotify on one device if you have a million audiophiles with over songs on their devices shouldnt you cater to them instead of mucking around with justin bieber,Playlist Issue,Auto
"Dear @115888 - please use those creepy awesome algorithms to update my ""Your Time Capsule"" playlist! I need MOAR!!!!","@323356 Hey Aaron! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /MX",dear please use those creepy awesome algorithms to update my your time capsule playlist i need moar,Playlist Issue,Auto
@116130 can you save a queue as a playlist??,"@252772 Hey there! We're afraid that this isn't possible right now, but we'll let the right team know it's something you'd like to see /NQ",can you save a queue as a playlist,Playlist Issue,Auto
Hey @115888 why do you keep deleting my offline songs from my phone? Stop!,"@296021 Hey Luis, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /AR",hey why do you keep deleting my offline songs from my phone stop,Playlist Issue,Auto
@SpotifyCares I keep getting 'Can't play the current song'?,"@345430 Hey, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RS",i keep getting can t play the current song,Playlist Issue,Auto
"@SpotifyCares why am I unable to play ANY songs on spotify? I've tried logging out and logging back in, nothing is helping","@324162 Hey Celia, that doesn't sound good. Can you let us know what device, operating system, and Spotify version you're using? /RK",why am i unable to play any songs on spotify i ve tried logging out and logging back in nothing is helping,Playlist Issue,Auto
Hey @115888 where is my top 100 songs of 2017 playlist???,"@233797 We're working on this as we speak, but we don't have a release date yet. Keep rocking 🤘 /DF",hey where is my top songs of playlist,Playlist Issue,Auto
@115888 what do I need to do to get onto the Feminist Friday: Women Producers playlist?!? probably my fav playlist you guys have made!!,"@238360 Hey there! Our Curation team are independent so there's no formal submission process. Check out https://t.co/Ackn8bZUwo to help you gain visibility. If you ever need anything else, just shout and we'll come running 🏃 /JX",what do i need to do to get onto the feminist friday women producers playlist probably my fav playlist you guys have made,Playlist Issue,Auto
"@SpotifyCares i have Redbone - come and get your love in a playlist, but it keeps the same title and plays Gloria Gaynor - I will survive.","@388852 Hi Mike, help's here! Can you send us the link to that song? We'll take a closer look /GT",i have redbone come and get your love in a playlist but it keeps the same title and plays gloria gaynor i will survive,Playlist Issue,Auto
"Is there a good way to let friends (remote) control @115888 playback? As in, queue up next song from phones or similar?","@204122 Hey Sam! Right now, the best choice to do something similar is to create a collaborative playlist: https://t.co/qHnnWju97I. Try it out /BH",is there a good way to let friends remote control playback as in queue up next song from phones or similar,Playlist Issue,Auto
"@SpotifyCares Hey, I just released a song on your app through tunecore and my single went on another artists account..i am very frustrated.",@324110 Hey there! This sounds like something for our Artist Services friends. You can contact them here: https://t.co/3j9HWSEG0s /KP,hey i just released a song on your app through tunecore and my single went on another artists account i am very frustrated,Playlist Issue,Auto
"@SpotifyCares I'm having issues where even though songs are downloaded and in my playlist, they won't play.","@204575 Hey Rafael! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH",i m having issues where even though songs are downloaded and in my playlist they won t play,Playlist Issue,Auto
@115888 Spotify doesn't care about me. A customer who has 10k songs in my library. @SpotifyCares,"@161435 We're afraid it's not possible to increase the 10k limit right now, but you can show your support here: https://t.co/8OOl8B2i69 /AU",spotify doesn t care about me a customer who has k songs in my library,Playlist Issue,Auto
@11574’s version of Bang Bang deserve an award! Put the song on @115888,"@363348 Hey Jaye! We'd love to have all the music in the world available, but there's more info here: https://t.co/0i8GpimuDa /RI",s version of bang bang deserve an award put the song on,Playlist Issue,Auto
@SpotifyCares Please email me at __email__,"@241893 Hey! We have support via email at https://t.co/ZgU70SUdKc, but we're happy to help you out here on Twitter. We'd recommend deleting your tweet for security as it contains your personal info. Can you DM it to us instead? We'll take a look backstage /KM https://t.co/ldFdZR1cbT",please email me at email,Account Access,Escalate
"@SpotifyCares if I change my email on Spotify account from old to new email, will my old email be free to make a new Spotify account?","@189611 1: Hey Sean, that's right! When you change the email on your account, the old email address can be used to make a new...",if i change my email on spotify account from old to new email will my old email be free to make a new spotify account,Account Access,Escalate
"@SpotifyCares just received an email regarding my student premium membership, could you please check DMs? ☺️",@308568 Hey there! We've just replied to your DM. Check it out. We'll continue helping there /RE,just received an email regarding my student premium membership could you please check dms,Premium Billing,Escalate
"@SpotifyCares Uh spotify, why did you just log me out then tell me my email doesn't exist when I try to reset my password?",@313095 Hey there! That's not cool. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt,uh spotify why did you just log me out then tell me my email doesn t exist when i try to reset my password,Login Issue,Auto
@SpotifyCares I no longer use the email that was once connected to my Facebook. I have since updated my email on FB and but I cannot seem to get that to change over on my Spotify account. I use a MacBook Pro.,@236873 Got it! Could you DM us a link to your Facebook profile and the email address associated with your Facebook? We'll take a closer look /JQ https://t.co/ldFdZRiNAt,i no longer use the email that was once connected to my facebook i have since updated my email on fb and but i cannot seem to get that to change over on my spotify account i use a macbook pro,Account Access,Escalate
@115888 For some reason one of my family members cannot redeem her invitation. Do you have an email I can use to get in contact with support about this?,"@254723 Hey! We'd be happy to help out on Twitter, but you can also get in touch with us via email here: https://t.co/zu6tKiIYUg. If you choose the latter, can you DM us the email address or username on your family member's account, as well as the plan owner's? We'll take a look /NQ https://t.co/ldFdZRiNAt",for some reason one of my family members cannot redeem her invitation do you have an email i can use to get in contact with support about this,Account Access,Escalate
@SpotifyCares hi I am trying to add on to my family’s account however the email link to join is not working. Can you help?,@319062 Hey Kate! Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,hi i am trying to add on to my family s account however the email link to join is not working can you help,Account Access,Escalate
@147836 Spotify username msolby. Spotify devotee. Can you help customer support solve my login problems. Days without music is no fun.,"@252489 Hey Marc, help's here! Could you send us a DM with your account's email address? We'll make sure to help you log back in to your account 🙂 /VA https://t.co/ldFdZRiNAt",spotify username msolby spotify devotee can you help customer support solve my login problems days without music is no fun,Login Issue,Auto
"Hi @SpotifyCares, I have a #spotify account created with FB. I changed my Facebook email months ago but it hasn't updated on Spotify yet. Thanks","@141973 Hey Lorenzo, help's here! Could you DM us your account's email address or the email registered on your Facebook account? We'll take a look under the hood /WP https://t.co/ldFdZRiNAt",hi i have a spotify account created with fb i changed my facebook email months ago but it hasn t updated on spotify yet thanks,Account Access,Escalate
@SpotifyCares Email verification. I'm getting email for someone who entered the wrong email. With enough flags your email will be spam,@210657 Hey there! Can you DM us the account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,email verification i m getting email for someone who entered the wrong email with enough flags your email will be spam,Account Access,Escalate
@SpotifyCares I haven't been able to login to my account?! And I haven't received an email to reset password.. HELP PLEASE,@203919 Hey Neeka! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR,i haven t been able to login to my account and i haven t received an email to reset password help please,Login Issue,Auto
"@SpotifyCares Hi, I just got an email to ""confirm my account,"" saying I'm almost done creating my Spotify account. Only I'm not trying to create an account, I think someone is using my email address.",@238741 Hey Matt! Could you send us a DM with your email address? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,hi i just got an email to confirm my account saying i m almost done creating my spotify account only i m not trying to create an account i think someone is using my email address,Account Access,Escalate
@SpotifyCares I actually fixed it. Needed to delete my cookies before it would send another email.,"@225444 Great! We're glad to hear you figured it out. If you ever need us, just give us a shout. https://t.co/m4HWSbgHVZ 🙂 /RH",i actually fixed it needed to delete my cookies before it would send another email,Account Access,Escalate
@SpotifyCares I can’t create acct with my email. Says email is taken. Then says I’ve logged in with Facebook cred. Deleted app from FB. Still says my email taken.,@154721 Hey there! Can you DM us your account's email address? We'll take a look backstage /TJ https://t.co/ldFdZRiNAt,i can t create acct with my email says email is taken then says i ve logged in with facebook cred deleted app from fb still says my email taken,Account Access,Escalate
